,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,8.35e-11,1.8e-09,0.0,0.0,1.3e-10,8.49e-12,7.3e-11,9.6e-11
1,8.434e-11,1.8e-09,0.0,0.0,1.291e-10,8.787e-12,7.347e-11,9.624e-11
2,8.524e-11,1.8e-09,0.0,0.0,1.282e-10,9.101e-12,7.398e-11,9.649e-11
3,8.622e-11,1.8e-09,0.0,0.0,1.272e-10,9.434e-12,7.451e-11,9.675e-11
4,8.727e-11,1.8e-09,0.0,0.0,1.264e-10,9.787e-12,7.507e-11,9.704e-11
5,8.839e-11,1.8e-09,0.0,0.0,1.257e-10,1.016e-11,7.567e-11,9.733e-11
6,8.958e-11,1.8e-09,0.0,0.0,1.249e-10,1.056e-11,7.63e-11,9.765e-11
7,9.085e-11,1.8e-09,0.0,0.0,1.242e-10,1.098e-11,7.697e-11,9.798e-11
8,9.219e-11,1.8e-09,0.0,0.0,1.235e-10,1.142e-11,7.768e-11,9.834e-11
9,9.361e-11,1.8e-09,0.0,0.0,1.227e-10,1.189e-11,7.843e-11,9.872e-11
10,9.511e-11,1.8e-09,0.0,0.0,1.218e-10,1.239e-11,7.923e-11,9.911e-11
11,9.668e-11,1.8e-09,0.0,0.0,1.21e-10,1.292e-11,8.007e-11,9.953e-11
12,9.834e-11,1.8e-09,0.0,0.0,1.2e-10,1.348e-11,8.096e-11,9.998e-11
13,1.017e-10,1.8e-09,0.0,0.0,1.197e-10,1.364e-11,8.089e-11,9.898e-11
14,1.053e-10,1.8e-09,0.0,0.0,1.193e-10,1.379e-11,8.076e-11,9.785e-11
15,1.089e-10,1.8e-09,0.0,0.0,1.189e-10,1.395e-11,8.063e-11,9.666e-11
16,1.126e-10,1.8e-09,0.0,0.0,1.185e-10,1.411e-11,8.049e-11,9.539e-11
17,1.164e-10,1.8e-09,0.0,0.0,1.18e-10,1.429e-11,8.034e-11,9.405e-11
18,1.203e-10,1.8e-09,0.0,0.0,1.175e-10,1.448e-11,8.018e-11,9.263e-11
19,1.243e-10,1.8e-09,0.0,0.0,1.17e-10,1.468e-11,8.001e-11,9.113e-11
20,1.284e-10,1.8e-09,0.0,0.0,1.17e-10,1.489e-11,7.968e-11,8.97e-11
21,1.326e-10,1.8e-09,0.0,0.0,1.17e-10,1.512e-11,7.93e-11,8.82e-11
22,1.369e-10,1.8e-09,0.0,0.0,1.17e-10,1.536e-11,7.89e-11,8.661e-11
23,1.414e-10,1.8e-09,0.0,0.0,1.17e-10,1.561e-11,7.848e-11,8.493e-11
24,1.459e-10,1.8e-09,0.0,0.0,1.17e-10,1.588e-11,7.804e-11,8.315e-11
25,1.506e-10,1.8e-09,0.0,0.0,1.173e-10,1.595e-11,7.757e-11,8.17e-11
26,1.554e-10,1.8e-09,0.0,0.0,1.176e-10,1.602e-11,7.707e-11,8.02e-11
27,1.603e-10,1.8e-09,0.0,0.0,1.18e-10,1.608e-11,7.654e-11,7.861e-11
28,1.655e-10,1.8e-09,0.0,0.0,1.183e-10,1.615e-11,7.598e-11,7.695e-11
29,1.744e-10,1.8e-09,0.0,0.0,1.187e-10,1.623e-11,7.538e-11,7.576e-11
30,1.834e-10,1.8e-09,0.0,0.0,1.192e-10,1.631e-11,7.475e-11,7.451e-11
31,1.925e-10,1.8e-09,0.0,0.0,1.196e-10,1.639e-11,7.409e-11,7.317e-11
32,2.018e-10,1.8e-09,0.0,0.0,1.201e-10,1.648e-11,7.369e-11,7.207e-11
33,2.113e-10,1.8e-09,0.0,0.0,1.206e-10,1.657e-11,7.332e-11,7.095e-11
34,2.21e-10,1.8e-09,0.0,0.0,1.211e-10,1.667e-11,7.292e-11,6.992e-11
35,2.308e-10,1.8e-09,0.0,0.0,1.218e-10,1.677e-11,7.25e-11,6.95e-11
36,2.408e-10,1.8e-09,0.0,0.0,1.226e-10,1.689e-11,7.206e-11,6.906e-11
37,2.511e-10,1.8e-09,0.0,0.0,1.234e-10,1.7e-11,7.159e-11,6.817e-11
38,2.615e-10,1.8e-09,0.0,0.0,1.242e-10,1.713e-11,7.109e-11,6.717e-11
39,2.722e-10,1.8e-09,0.0,0.0,1.251e-10,1.726e-11,7.1e-11,6.7e-11
40,2.83e-10,1.8e-09,0.0,0.0,1.26e-10,1.74e-11,7.1e-11,6.7e-11
41,3.082e-10,1.853e-09,0.0,0.0,1.269e-10,1.754e-11,7.1e-11,6.67e-11
42,3.335e-10,1.91e-09,0.0,0.0,1.278e-10,1.769e-11,7.1e-11,6.639e-11
43,3.592e-10,1.97e-09,0.0,0.0,1.288e-10,1.785e-11,7.1e-11,6.606e-11
44,3.851e-10,2.033e-09,0.0,0.0,1.299e-10,1.802e-11,7.071e-11,6.6e-11
45,4.114e-10,2.1e-09,0.0,0.0,1.31e-10,1.82e-11,7.033e-11,6.6e-11
46,4.38e-10,2.171e-09,0.0,0.0,1.322e-10,1.839e-11,7.006e-11,6.6e-11
47,4.649e-10,2.247e-09,0.0,0.0,1.334e-10,1.859e-11,7.048e-11,6.6e-11
48,4.923e-10,2.326e-09,0.0,0.0,1.348e-10,1.879e-11,7.092e-11,6.6e-11
49,5.201e-10,2.411e-09,0.0,0.0,1.362e-10,1.899e-11,7.1e-11,6.639e-11
50,5.482e-10,2.5e-09,0.0,0.0,1.377e-10,1.921e-11,7.1e-11,6.689e-11
51,5.769e-10,2.595e-09,0.0,0.0,1.393e-10,1.944e-11,7.1e-11,6.7e-11
52,6.06e-10,2.696e-09,0.0,0.0,1.409e-10,1.969e-11,7.1e-11,6.7e-11
53,6.356e-10,2.768e-09,0.0,0.0,1.426e-10,1.995e-11,7.145e-11,6.745e-11
54,6.658e-10,2.843e-09,0.0,0.0,1.443e-10,2.023e-11,7.195e-11,6.795e-11
55,6.965e-10,2.923e-09,0.0,0.0,1.462e-10,2.052e-11,7.249e-11,6.849e-11
56,7.278e-10,3.007e-09,0.0,0.0,1.482e-10,2.083e-11,7.302e-11,6.905e-11
57,7.597e-10,3.096e-09,0.0,0.0,1.503e-10,2.115e-11,7.332e-11,6.964e-11
58,7.922e-10,3.191e-09,0.0,0.0,1.525e-10,2.15e-11,7.364e-11,7.027e-11
59,8.253e-10,3.291e-09,0.0,0.0,1.548e-10,2.187e-11,7.397e-11,7.094e-11
60,8.592e-10,3.365e-09,0.0,0.0,1.569e-10,2.215e-11,7.465e-11,7.132e-11
61,8.938e-10,3.44e-09,0.0,0.0,1.592e-10,2.244e-11,7.54e-11,7.17e-11
62,9.291e-10,3.519e-09,0.0,0.0,1.616e-10,2.275e-11,7.61e-11,7.219e-11
63,9.651e-10,3.603e-09,0.0,0.0,1.641e-10,2.308e-11,7.652e-11,7.303e-11
64,1.002e-09,3.692e-09,0.0,0.0,1.668e-10,2.342e-11,7.696e-11,7.392e-11
