,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,3.674e-10,2.6e-09,0.0,0.0,1.1e-10,7.15e-11,9.2e-11,1.75e-10
1,3.682e-10,2.6e-09,0.0,0.0,1.097e-10,7.17e-11,9.277e-11,1.755e-10
2,3.693e-10,2.6e-09,0.0,0.0,1.094e-10,7.19e-11,9.359e-11,1.761e-10
3,3.707e-10,2.6e-09,0.0,0.0,1.091e-10,7.212e-11,9.445e-11,1.767e-10
4,3.724e-10,2.6e-09,0.0,0.0,1.087e-10,7.235e-11,9.537e-11,1.773e-10
5,3.744e-10,2.6e-09,0.0,0.0,1.083e-10,7.26e-11,9.634e-11,1.78e-10
6,3.767e-10,2.6e-09,0.0,0.0,1.08e-10,7.286e-11,9.736e-11,1.787e-10
7,3.794e-10,2.6e-09,0.0,0.0,1.078e-10,7.314e-11,9.845e-11,1.795e-10
8,3.823e-10,2.6e-09,0.0,0.0,1.077e-10,7.343e-11,9.96e-11,1.803e-10
9,3.856e-10,2.6e-09,0.0,0.0,1.075e-10,7.374e-11,1.008e-10,1.811e-10
10,3.892e-10,2.6e-09,0.0,0.0,1.074e-10,7.407e-11,1.021e-10,1.82e-10
11,3.931e-10,2.6e-09,0.0,0.0,1.072e-10,7.442e-11,1.035e-10,1.83e-10
12,3.973e-10,2.6e-09,0.0,0.0,1.07e-10,7.478e-11,1.049e-10,1.84e-10
13,4.021e-10,2.6e-09,0.0,0.0,1.073e-10,7.495e-11,1.059e-10,1.84e-10
14,4.073e-10,2.6e-09,0.0,0.0,1.077e-10,7.512e-11,1.069e-10,1.84e-10
15,4.129e-10,2.6e-09,0.0,0.0,1.081e-10,7.53e-11,1.08e-10,1.84e-10
16,4.187e-10,2.6e-09,0.0,0.0,1.085e-10,7.549e-11,1.091e-10,1.84e-10
17,4.249e-10,2.6e-09,0.0,0.0,1.09e-10,7.569e-11,1.103e-10,1.84e-10
18,4.315e-10,2.6e-09,0.0,0.0,1.095e-10,7.59e-11,1.115e-10,1.84e-10
19,4.384e-10,2.6e-09,0.0,0.0,1.1e-10,7.613e-11,1.129e-10,1.84e-10
20,4.457e-10,2.6e-09,0.0,0.0,1.108e-10,7.637e-11,1.14e-10,1.835e-10
21,4.534e-10,2.6e-09,0.0,0.0,1.117e-10,7.662e-11,1.151e-10,1.83e-10
22,4.614e-10,2.6e-09,0.0,0.0,1.127e-10,7.689e-11,1.163e-10,1.824e-10
23,4.698e-10,2.6e-09,0.0,0.0,1.138e-10,7.717e-11,1.176e-10,1.817e-10
24,4.786e-10,2.6e-09,0.0,0.0,1.149e-10,7.747e-11,1.189e-10,1.811e-10
25,4.878e-10,2.6e-09,0.0,0.0,1.162e-10,7.77e-11,1.203e-10,1.806e-10
26,4.974e-10,2.6e-09,0.0,0.0,1.175e-10,7.792e-11,1.218e-10,1.801e-10
27,5.074e-10,2.6e-09,0.0,0.0,1.189e-10,7.816e-11,1.234e-10,1.795e-10
28,5.179e-10,2.6e-09,0.0,0.0,1.204e-10,7.841e-11,1.251e-10,1.79e-10
