,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,7.586e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
1,7.371e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
2,7.162e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
3,6.958e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
4,6.761e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
5,6.569e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
6,6.383e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
7,6.202e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
8,6.026e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
9,5.855e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
10,5.689e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
11,5.527e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
12,5.37e-10,2.79e-10,0.0,0.0,2.6e-10,3.8e-11,8e-11,8.9e-11
13,5.218e-10,2.79e-10,0.0,0.0,2.615e-10,3.8e-11,8.085e-11,8.985e-11
14,5.07e-10,2.79e-10,0.0,0.0,2.632e-10,3.8e-11,8.179e-11,9.079e-11
15,4.926e-10,2.79e-10,0.0,0.0,2.65e-10,3.8e-11,8.279e-11,9.179e-11
16,4.786e-10,2.79e-10,0.0,0.0,2.668e-10,3.8e-11,8.384e-11,9.284e-11
17,4.651e-10,2.79e-10,0.0,0.0,2.688e-10,3.8e-11,8.496e-11,9.396e-11
18,4.519e-10,2.79e-10,0.0,0.0,2.709e-10,3.8e-11,8.614e-11,9.514e-11
19,4.39e-10,2.79e-10,0.0,0.0,2.731e-10,3.8e-11,8.739e-11,9.639e-11
20,4.266e-10,2.79e-10,0.0,0.0,2.755e-10,3.8e-11,8.872e-11,9.772e-11
21,4.145e-10,2.79e-10,0.0,0.0,2.78e-10,3.8e-11,9.012e-11,9.912e-11
22,4.027e-10,2.79e-10,0.0,0.0,2.806e-10,3.8e-11,9.161e-11,1.006e-10
23,3.913e-10,2.79e-10,0.0,0.0,2.834e-10,3.8e-11,9.319e-11,1.022e-10
24,3.802e-10,2.79e-10,0.0,0.0,2.864e-10,3.8e-11,9.486e-11,1.039e-10
25,3.694e-10,2.84e-10,0.0,0.0,2.896e-10,3.8e-11,9.674e-11,1.058e-10
26,3.589e-10,2.897e-10,0.0,0.0,2.929e-10,3.8e-11,9.873e-11,1.08e-10
