,rate_electron,rate_HII,rate_HeII,rate_HeIII,rate_HI,rate_HeI,rate_oH2,rate_pH2
0,8.814e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
1,8.564e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
2,8.321e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
3,8.085e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
4,7.855e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
5,7.633e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
6,7.416e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
7,7.206e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
8,7.001e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
9,6.803e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
10,6.61e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
11,6.422e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
12,6.24e-10,3.53e-11,0.0,0.0,8.5e-11,5.78e-11,9.4e-11,1.11e-10
13,6.063e-10,3.53e-11,0.0,0.0,9.824e-11,5.78e-11,9.871e-11,1.155e-10
14,5.891e-10,3.53e-11,0.0,0.0,1.129e-10,5.78e-11,1.039e-10,1.204e-10
15,5.724e-10,3.53e-11,0.0,0.0,1.283e-10,5.78e-11,1.094e-10,1.257e-10
16,5.561e-10,3.53e-11,0.0,0.0,1.447e-10,5.78e-11,1.152e-10,1.312e-10
17,5.403e-10,3.53e-11,0.0,0.0,1.621e-10,5.78e-11,1.214e-10,1.371e-10
18,5.25e-10,3.53e-11,0.0,0.0,1.805e-10,5.78e-11,1.28e-10,1.433e-10
19,5.101e-10,3.53e-11,0.0,0.0,2e-10,5.78e-11,1.349e-10,1.499e-10
20,4.956e-10,3.53e-11,0.0,0.0,2.206e-10,5.78e-11,1.422e-10,1.569e-10
21,4.816e-10,3.53e-11,0.0,0.0,2.425e-10,5.78e-11,1.5e-10,1.643e-10
22,4.679e-10,3.53e-11,0.0,0.0,2.603e-10,5.78e-11,1.582e-10,1.722e-10
23,4.546e-10,3.53e-11,0.0,0.0,2.617e-10,5.78e-11,1.67e-10,1.805e-10
24,4.417e-10,3.53e-11,0.0,0.0,2.632e-10,5.78e-11,1.762e-10,1.893e-10
25,4.292e-10,3.748e-11,0.0,0.0,2.648e-10,5.78e-11,1.784e-10,1.916e-10
26,4.17e-10,3.998e-11,0.0,0.0,2.664e-10,5.78e-11,1.8e-10,1.935e-10
27,4.052e-10,4.264e-11,0.0,0.0,2.682e-10,5.78e-11,1.818e-10,1.955e-10
28,3.942e-10,4.545e-11,0.0,0.0,2.701e-10,5.78e-11,1.836e-10,1.976e-10
29,3.955e-10,4.843e-11,0.0,0.0,2.731e-10,5.78e-11,1.855e-10,1.998e-10
30,3.971e-10,5.158e-11,0.0,0.0,2.762e-10,5.78e-11,1.876e-10,2.022e-10
31,3.99e-10,5.492e-11,0.0,0.0,2.796e-10,5.78e-11,1.897e-10,2.047e-10
32,4.013e-10,5.846e-11,0.0,0.0,2.831e-10,5.78e-11,1.925e-10,2.075e-10
33,4.038e-10,6.221e-11,0.0,0.0,2.868e-10,5.78e-11,1.955e-10,2.105e-10
34,4.068e-10,6.618e-11,0.0,0.0,2.908e-10,5.78e-11,1.986e-10,2.136e-10
35,4.1e-10,7.039e-11,0.0,0.0,2.95e-10,5.78e-11,2.02e-10,2.17e-10
36,4.136e-10,7.505e-11,0.0,0.0,2.994e-10,5.78e-11,2.055e-10,2.205e-10
37,4.175e-10,7.998e-11,0.0,0.0,3.041e-10,5.78e-11,2.095e-10,2.243e-10
38,4.218e-10,8.52e-11,0.0,0.0,3.091e-10,5.78e-11,2.138e-10,2.283e-10
39,4.265e-10,9.074e-11,0.0,0.0,3.144e-10,5.78e-11,2.182e-10,2.325e-10
40,4.315e-10,9.66e-11,0.0,0.0,3.2e-10,5.78e-11,2.23e-10,2.37e-10
41,4.308e-10,1.033e-10,0.0,0.0,3.247e-10,6.025e-11,2.274e-10,2.414e-10
42,4.306e-10,1.103e-10,0.0,0.0,3.298e-10,6.285e-11,2.322e-10,2.462e-10
43,4.307e-10,1.178e-10,0.0,0.0,3.351e-10,6.56e-11,2.371e-10,2.511e-10
44,4.311e-10,1.257e-10,0.0,0.0,3.407e-10,6.852e-11,2.427e-10,2.561e-10
45,4.319e-10,1.34e-10,0.0,0.0,3.467e-10,7.161e-11,2.487e-10,2.613e-10
46,4.331e-10,1.429e-10,0.0,0.0,3.53e-10,7.488e-11,2.549e-10,2.668e-10
47,4.346e-10,1.523e-10,0.0,0.0,3.597e-10,7.834e-11,2.607e-10,2.723e-10
48,4.365e-10,1.623e-10,0.0,0.0,3.685e-10,8.201e-11,2.669e-10,2.78e-10
49,4.388e-10,1.728e-10,0.0,0.0,3.779e-10,8.59e-11,2.731e-10,2.833e-10
50,4.414e-10,1.84e-10,0.0,0.0,3.878e-10,9.002e-11,2.796e-10,2.888e-10
51,4.444e-10,1.958e-10,0.0,0.0,3.984e-10,9.438e-11,2.864e-10,2.946e-10
52,4.477e-10,2.083e-10,0.0,0.0,4.095e-10,9.9e-11,2.937e-10,3.007e-10
53,4.443e-10,2.216e-10,0.0,0.0,4.191e-10,1.029e-10,3.001e-10,3.06e-10
54,4.41e-10,2.357e-10,0.0,0.0,4.291e-10,1.07e-10,3.069e-10,3.115e-10
55,4.381e-10,2.506e-10,0.0,0.0,4.397e-10,1.114e-10,3.141e-10,3.173e-10
56,4.355e-10,2.664e-10,0.0,0.0,4.507e-10,1.16e-10,3.215e-10,3.234e-10
57,4.333e-10,2.845e-10,0.0,0.0,4.596e-10,1.209e-10,3.284e-10,3.288e-10
58,4.314e-10,3.036e-10,0.0,0.0,4.691e-10,1.26e-10,3.356e-10,3.345e-10
59,4.299e-10,3.238e-10,0.0,0.0,4.791e-10,1.315e-10,3.433e-10,3.405e-10
60,4.287e-10,3.453e-10,0.0,0.0,4.897e-10,1.365e-10,3.505e-10,3.459e-10
61,4.279e-10,3.68e-10,0.0,0.0,5.01e-10,1.418e-10,3.58e-10,3.515e-10
62,4.275e-10,3.92e-10,0.0,0.0,5.129e-10,1.473e-10,3.655e-10,3.572e-10
63,4.274e-10,4.175e-10,0.0,0.0,5.255e-10,1.532e-10,3.723e-10,3.622e-10
64,4.277e-10,4.445e-10,0.0,0.0,5.389e-10,1.595e-10,3.794e-10,3.675e-10
65,4.283e-10,4.731e-10,0.0,0.0,5.53e-10,1.654e-10,3.865e-10,3.723e-10
66,4.293e-10,5.034e-10,0.0,0.0,5.68e-10,1.717e-10,3.94e-10,3.773e-10
67,4.306e-10,5.355e-10,0.0,0.0,5.793e-10,1.783e-10,4.01e-10,3.822e-10
68,4.32e-10,5.692e-10,0.0,0.0,5.906e-10,1.852e-10,4.083e-10,3.872e-10
69,4.28e-10,5.993e-10,0.0,0.0,6.054e-10,1.915e-10,4.151e-10,3.923e-10
70,4.243e-10,6.311e-10,0.0,0.0,6.212e-10,1.981e-10,4.223e-10,3.976e-10
71,4.21e-10,6.648e-10,0.0,0.0,6.378e-10,2.051e-10,4.3e-10,4.033e-10
72,4.18e-10,7.005e-10,0.0,0.0,6.524e-10,2.119e-10,4.372e-10,4.083e-10
73,4.154e-10,7.384e-10,0.0,0.0,6.673e-10,2.19e-10,4.447e-10,4.136e-10
74,4.131e-10,7.784e-10,0.0,0.0,6.824e-10,2.266e-10,4.524e-10,4.19e-10
75,4.112e-10,8.209e-10,0.0,0.0,6.95e-10,2.35e-10,4.6e-10,4.245e-10
76,4.096e-10,8.634e-10,0.0,0.0,7.083e-10,2.439e-10,4.68e-10,4.303e-10
77,4.083e-10,9.084e-10,0.0,0.0,7.224e-10,2.52e-10,4.76e-10,4.364e-10
78,4.074e-10,9.56e-10,0.0,0.0,7.374e-10,2.605e-10,4.845e-10,4.429e-10
79,4.068e-10,1.007e-09,0.0,0.0,7.488e-10,2.686e-10,4.93e-10,4.493e-10
80,4.066e-10,1.06e-09,0.0,0.0,7.6e-10,2.77e-10,5.02e-10,4.56e-10
81,4.043e-10,1.114e-09,0.0,0.0,7.6e-10,2.77e-10,5.103e-10,4.625e-10
82,4.024e-10,1.171e-09,0.0,0.0,7.6e-10,2.77e-10,5.189e-10,4.692e-10
83,4.008e-10,1.232e-09,0.0,0.0,7.6e-10,2.77e-10,5.275e-10,4.759e-10
84,3.995e-10,1.296e-09,0.0,0.0,7.6e-10,2.77e-10,5.355e-10,4.829e-10
85,3.986e-10,1.365e-09,0.0,0.0,7.6e-10,2.77e-10,5.434e-10,4.897e-10
86,3.98e-10,1.437e-09,0.0,0.0,7.6e-10,2.77e-10,5.511e-10,4.959e-10
87,3.977e-10,1.513e-09,0.0,0.0,7.6e-10,2.77e-10,5.587e-10,5.017e-10
88,3.978e-10,1.594e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
89,3.981e-10,1.68e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
90,3.989e-10,1.771e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
91,3.999e-10,1.867e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
92,4.013e-10,1.969e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
93,4.023e-10,2.077e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
94,4.037e-10,2.191e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
95,4.054e-10,2.313e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
96,4.075e-10,2.44e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
97,4.099e-10,2.565e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
98,4.126e-10,2.697e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
99,4.156e-10,2.838e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
100,4.146e-10,2.986e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
101,4.134e-10,3.144e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
102,4.126e-10,3.31e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
103,4.122e-10,3.487e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
104,4.12e-10,3.674e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
105,4.123e-10,3.872e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
106,4.128e-10,4.082e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
107,4.137e-10,4.304e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
108,4.15e-10,4.539e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
109,4.167e-10,4.776e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
110,4.189e-10,5.026e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
111,4.213e-10,5.291e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
112,4.241e-10,5.572e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
113,4.273e-10,5.87e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
114,4.297e-10,6.185e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
115,4.281e-10,6.519e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
116,4.269e-10,6.626e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
117,4.26e-10,6.739e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
118,4.254e-10,6.859e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
119,4.253e-10,6.986e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
120,4.254e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
121,4.133e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
122,4.016e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
123,3.902e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
124,3.792e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
125,3.684e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
126,3.579e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
127,3.478e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
128,3.379e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
129,3.283e-10,7.12e-09,0.0,0.0,7.6e-10,2.77e-10,5.59e-10,5.02e-10
